company,rule,result,message,info_brief
3M,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 14, 15, 25, 31, 32, 55, 65, 66, 76, 82, 83], 'changed_label_details': [{'index': 25, 'original': '[row 22]: Current liabilities | | [SEP]', 'modified': '[row 22]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 76, 'original': '[row 22]: Current liabilities | | [SEP]', 'modified': '[row 22]: Ongoing liabilities | | [SEP]', 'token_diff': ('"
AMD,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 1,"{'other_changes': [(75, '[row <NUM>]: Capital stock: | | | [SEP]', '[row <NUM>]: Capital stock: | | | | [SEP]', 'unexpected non-numeric change outside allowed label')], 'candidate_indices': [4, 10, 11, 18, 21, 26, 27, 45, 51, 52, 59, 62, 67, 68]}"
ATandT,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 4,"{'changed_label': {'index': 4, 'original': '[row 1]: Current Assets | | [SEP]', 'modified': '[row 1]: Ongoing Assets | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
AbbVie,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 10, 18, 22, 40, 46, 54, 58], 'changed_label_details': [{'index': 18, 'original': '[row 15]: Current liabilities |  | [SEP]', 'modified': '[row 15]: Ongoing liabilities |  | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 54, 'original': '[row 15]: Current liabilities |  | [SEP]', 'modified': '[row 15]: Ongoing liabilities |  | [SEP]', 'token_diff': ('Current', 'O"
Abbott Laboratories,BS-02,PASS,PASS: label changed: 'Current' -> 'Primary' in line index 55,"{'changed_label': {'index': 55, 'original': '[row 1]: Current liabilities: | | [SEP]', 'modified': '[row 1]: Primary liabilities: | | [SEP]', 'token_diff': ('Current', 'Primary')}}"
Adobe,BS-02,PASS,PASS: label changed: 'Current' -> 'Active' in line index 18,"{'changed_label': {'index': 18, 'original': '[row 15]: Current liabilities: | | [SEP]', 'modified': '[row 15]: Active liabilities: | | [SEP]', 'token_diff': ('Current', 'Active')}}"
Allstate,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 1,"{'other_changes': [(3, '[row <NUM>]: Assets | | [SEP]', '[row <NUM>]: Active Assets | | [SEP]', 'unexpected non-numeric change outside allowed label')], 'candidate_indices': []}"
Alphabet (Google),BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 19,"{'changed_label': {'index': 19, 'original': '[row 16]: Current liabilities: | | [SEP]', 'modified': '[row 16]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Amazon,BS-02,PASS,PASS: label changed: 'Current' -> 'Active' in line index 4,"{'changed_label': {'index': 4, 'original': '[row 1]: Current assets: | | [SEP]', 'modified': '[row 1]: Active assets: | | [SEP]', 'token_diff': ('Current', 'Active')}}"
American Express,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 1,"{'other_changes': [(17, '[row <NUM>]: Liabilities | | [SEP]', '[row <NUM>]: Active Liabilities | | [SEP]', 'unexpected non-numeric change outside allowed label')], 'candidate_indices': []}"
Apple,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 19,"{'changed_label': {'index': 19, 'original': '[row 16]: Current liabilities: | | [SEP]', 'modified': '[row 16]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Applied Materials,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 9, 10, 18, 22, 40, 45, 46, 54, 58], 'changed_label_details': [{'index': 18, 'original': '[row 15]: Current liabilities: | | [SEP]', 'modified': '[row 15]: Primary liabilities: | | [SEP]', 'token_diff': ('Current', 'Primary')}, {'index': 54, 'original': '[row 15]: Current liabilities: | | [SEP]', 'modified': '[row 15]: Primary liabilities: | | [SEP]', 'token_diff': ('Curre"
Asana,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 8, 9, 16, 18, 21, 38, 42, 43, 50, 52, 55], 'changed_label_details': [{'index': 4, 'original': '[row 1]: Current assets | | [SEP]', 'modified': '[row 1]: Active assets | | [SEP]', 'token_diff': ('Current', 'Active')}, {'index': 38, 'original': '[row 1]: Current assets | | [SEP]', 'modified': '[row 1]: Active assets | | [SEP]', 'token_diff': ('Current', 'Active')}]}"
Bank of America,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 3,"{'other_changes': [(24, '[row <NUM>]: Liabilities |  | [SEP]', '[row <NUM>]: Ongoing Liabilities |  | [SEP]', 'unexpected non-numeric change outside allowed label'), (113, '[row <NUM>]: All other liabilities (includes $<NUM> and $<NUM> of non-recourse liabilities) |  | [SEP]', '[row <NUM>]: All other liabilities (includes $<NUM> and', 'unexpected non-numeric change outside allowed label'), (114, '"
Baxter International,BS-02,PASS,PASS: label changed: 'Current' -> 'Active' in line index 17,"{'changed_label': {'index': 17, 'original': '[row 14]: Current liabilities: | | [SEP]', 'modified': '[row 14]: Active liabilities: | | [SEP]', 'token_diff': ('Current', 'Active')}}"
Berkshire Hathaway,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 32,"{'other_changes': [(84, '[row <NUM>]: Total shareholders’ equity | <NUM> | [SEP]', '[row <NUM>]: Total shareholders’ equity | <NUM>', 'unexpected non-numeric change outside allowed label'), (85, '[row <NUM>]: | $ <NUM> | [SEP]', None, 'unexpected non-numeric change outside allowed label'), (86, '', None, 'unexpected non-numeric change outside allowed label'), (87, '[Time]: December <NUM> <NUM> [SE"
Best Buy,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 8, 9, 23, 29, 31, 48, 52, 53, 67, 73, 75], 'changed_label_details': [{'index': 23, 'original': '[row 20]: Current liabilities | | [SEP]', 'modified': '[row 20]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 67, 'original': '[row 20]: Current liabilities | | [SEP]', 'modified': '[row 20]: Ongoing liabilities | | [SEP]', 'token_diff': ('Cu"
Bilibili,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 29,"{'other_changes': [(1, '', '[Time]: As of December <NUM> <NUM> [SEP]', 'unexpected non-numeric change outside allowed label'), (2, '[Time]: As of December <NUM> <NUM> [SEP]', '[row <NUM>]:  Bilibili Inc. | Other Subsidiaries | Primary Beneficiaries of VIEs | VIEs and VIEs’ Subsidiaries | Eliminating adjustments | Consolidated Totals [SEP]', 'unexpected non-numeric change outside allowed label'), ("
Block,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 22,"{'changed_label': {'index': 22, 'original': '[row 19]: Current liabilities: | | [SEP]', 'modified': '[row 19]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Boeing,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [10, 11, 25, 51, 52, 66], 'changed_label_details': [{'index': 25, 'original': '[row 22]: Total current liabilities | 95,827 | [SEP]', 'modified': '[row 22]: Total Ongoing liabilities | 95,827 | [SEP]', 'token_diff': ('current', 'Ongoing')}, {'index': 66, 'original': '[row 22]: Total current liabilities | 90,052 | [SEP]', 'modified': '[row 22]: Total Ongoing liabilities | 90,0"
Boston Scientific,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 9, 10, 18, 22, 23, 42, 47, 48, 56, 60, 61], 'changed_label_details': [{'index': 18, 'original': '[row 15]: Current liabilities: | | [SEP]', 'modified': '[row 15]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 56, 'original': '[row 15]: Current liabilities: | | [SEP]', 'modified': '[row 15]: Ongoing liabilities: | | [SEP]', 'token_diff':"
Box,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 18,"{'changed_label': {'index': 18, 'original': '[row 15]: Current liabilities: | | [SEP]', 'modified': '[row 15]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Broadcom,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 17,"{'changed_label': {'index': 17, 'original': '[row 14]: Current liabilities: | | [SEP]', 'modified': '[row 14]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Caterpillar,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 20,"{'changed_label': {'index': 20, 'original': '[row 17]: Current liabilities: | | [SEP]', 'modified': '[row 17]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Chevron,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [12, 13, 29, 57, 58, 74], 'changed_label_details': [{'index': 29, 'original': '[row 26]: Total Current Liabilities | 32,258 | [SEP]', 'modified': '[row 26]: Total Ongoing Liabilities | 32,258 | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 74, 'original': '[row 26]: Total Current Liabilities | 34,208 | [SEP]', 'modified': '[row 26]: Total Ongoing Liabilities | 34,2"
Cisco Systems,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 20,"{'changed_label': {'index': 20, 'original': '[row 17]: Current liabilities: | | [SEP]', 'modified': '[row 17]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Coca-Cola,BS-02,PASS,PASS: label changed: 'Current' -> 'Active' in line index 4,"{'changed_label': {'index': 4, 'original': '[row 1]: Current Assets | | [SEP]', 'modified': '[row 1]: Active Assets | | [SEP]', 'token_diff': ('Current', 'Active')}}"
Corsair Gaming,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 4","{'candidate_indices': [4, 9, 10, 18, 22, 44, 49, 50, 58, 62], 'changed_label_details': [{'index': 18, 'original': '[row 15]: Current liabilities: | | [SEP]', 'modified': '[row 15]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 22, 'original': '[row 19]: Total current liabilities | 418,487 | [SEP]', 'modified': '[row 19]: Total ongoing liabilities | 418,487 | [SE"
Costco,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 9, 10, 17, 23, 24, 44, 49, 50, 57, 63, 64], 'changed_label_details': [{'index': 17, 'original': '[row 14]: CURRENT LIABILITIES |  |  [SEP]', 'modified': '[row 14]: Ongoing LIABILITIES |  |  [SEP]', 'token_diff': ('CURRENT', 'Ongoing')}, {'index': 57, 'original': '[row 14]: CURRENT LIABILITIES |  |  [SEP]', 'modified': '[row 14]: Ongoing LIABILITIES |  |  [SEP]', 'token_di"
Dell,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 21,"{'changed_label': {'index': 21, 'original': '[row 18]: Current liabilities: | | [SEP]', 'modified': '[row 18]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Dell Technologies,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 21,"{'changed_label': {'index': 21, 'original': '[row 18]: Current liabilities: | | [SEP]', 'modified': '[row 18]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Delta Air Lines,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 10, 21, 30, 51, 57, 68, 77], 'changed_label_details': [{'index': 21, 'original': '[row 18]: Current Liabilities: | | [SEP]', 'modified': '[row 18]: Primary Liabilities: | | [SEP]', 'token_diff': ('Current', 'Primary')}, {'index': 68, 'original': '[row 18]: Current Liabilities: | | [SEP]', 'modified': '[row 18]: Primary Liabilities: | | [SEP]', 'token_diff': ('Current', 'P"
Disney,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 9, 10, 25, 29, 48, 53, 54, 69, 73], 'changed_label_details': [{'index': 25, 'original': '[row 22]: Current liabilities | | [SEP]', 'modified': '[row 22]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 69, 'original': '[row 22]: Current liabilities | | [SEP]', 'modified': '[row 22]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current',"
DraftKings,BS-02,PASS,PASS: label changed: 'Current' -> 'Primary' in line index 4,"{'changed_label': {'index': 4, 'original': '[row 1]: Current assets: | | [SEP]', 'modified': '[row 1]: Primary assets: | | [SEP]', 'token_diff': ('Current', 'Primary')}}"
DuPont,BS-02,PASS,PASS: label changed: 'Current' -> 'Primary' in line index 27,"{'changed_label': {'index': 27, 'original': '[row 24]: Current Liabilities | | [SEP]', 'modified': '[row 24]: Primary Liabilities | | [SEP]', 'token_diff': ('Current', 'Primary')}}"
Electronic Arts,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 8, 9, 17, 19, 21, 39, 43, 44, 52, 54, 56], 'changed_label_details': [{'index': 17, 'original': '[row 14]: Current liabilities: | | [SEP]', 'modified': '[row 14]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 52, 'original': '[row 14]: Current liabilities: | | [SEP]', 'modified': '[row 14]: Ongoing liabilities: | | [SEP]', 'token_diff': "
Eli Lilly,BS-02,PASS,PASS: label changed: 'Current' -> 'Active' in line index 21,"{'changed_label': {'index': 21, 'original': '[row 18]: Current Liabilities | | [SEP]', 'modified': '[row 18]: Active Liabilities | | [SEP]', 'token_diff': ('Current', 'Active')}}"
Etsy,BS-02,PASS,PASS: label changed: 'Current' -> 'Primary' in line index 20,"{'changed_label': {'index': 20, 'original': '[row 17]: Current liabilities: | | [SEP]', 'modified': '[row 17]: Primary liabilities: | | [SEP]', 'token_diff': ('Current', 'Primary')}}"
ExxonMobil,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 49,"{'other_changes': [(3, '[row <NUM>]: Note Reference Number |  |  | [SEP]', '[row <NUM>]: Note Reference Number | | | [SEP]', 'unexpected non-numeric change outside allowed label'), (4, '[row <NUM>]: ASSETS |  |  | [SEP]', '[row <NUM>]: ASSETS | | | [SEP]', 'unexpected non-numeric change outside allowed label'), (9, '[row <NUM>]: Inventories |  |  | [SEP]', '[row <NUM>]: Inventories | | | [SEP]', '"
FedEx,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 9, 28, 33, 51, 57, 78, 84], 'changed_label_details': [{'index': 4, 'original': '[row 1]: CURRENT ASSETS | | [SEP]', 'modified': '[row 1]: Primary Assets | | [SEP]', 'token_diff': ('CURRENT', 'Primary')}, {'index': 28, 'original': '[row 1]: CURRENT ASSETS | | [SEP]', 'modified': '[row 1]: Primary Assets | | [SEP]', 'token_diff': ('CURRENT', 'Primary')}]}"
Ford Motor,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [10, 24, 59, 73], 'changed_label_details': [{'index': 24, 'original': '[row 21]: Total current liabilities | 25,497 | [SEP]', 'modified': '[row 21]: Total Primary liabilities | 25,497 | [SEP]', 'token_diff': ('current', 'Primary')}, {'index': 73, 'original': '[row 21]: Total current liabilities | 28,414 | [SEP]', 'modified': '[row 21]: Total Primary liabilities | 28,414 | [SE"
General Electric,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [7, 8, 10, 23, 25, 49, 50, 52, 65, 67], 'changed_label_details': [{'index': 10, 'original': '[row 7]: Current assets | 59,799 [SEP]', 'modified': '[row 7]: Primary assets | 59,799 [SEP]', 'token_diff': ('Current', 'Primary')}, {'index': 52, 'original': '[row 7]: Current assets | 58,384 [SEP]', 'modified': '[row 7]: Primary assets | 58,384 [SEP]', 'token_diff': ('Current', 'Pr"
General Motors,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 4,"{'changed_label': {'index': 4, 'original': '[row 1]: Current Assets | | [SEP]', 'modified': '[row 1]: Ongoing Assets | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Goldman Sachs,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 34,"{'other_changes': [(25, '[row <NUM>]: Total liabilities | <NUM> | [SEP]', '[row <NUM>]: Ongoing Liabilities | <NUM> | [SEP]', 'unexpected non-numeric change outside allowed label'), (42, '[row <NUM>]: Collateralized agreements: |  | [SEP]', '[row <NUM>]: Collateralized agreements:', 'unexpected non-numeric change outside allowed label'), (43, '[row <NUM>]:  Securities purchased under agreements to"
HP,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 8, 9, 12, 15, 18, 19, 21, 34, 38, 39, 42, 45, 48, 49, 51], 'changed_label_details': [{'index': 4, 'original': '[row 1]: Current assets: | | [SEP]', 'modified': '[row 1]: Primary assets: | | [SEP]', 'token_diff': ('Current', 'Primary')}, {'index': 34, 'original': '[row 1]: Current assets: | | [SEP]', 'modified': '[row 1]: Primary assets: | | [SEP]', 'token_diff': ('Current"
Home Depot,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 8, 9, 16, 23, 25, 42, 46, 47, 54, 61, 63], 'changed_label_details': [{'index': 16, 'original': '[row 13]: Current liabilities: | | [SEP]', 'modified': '[row 13]: Primary liabilities: | | [SEP]', 'token_diff': ('Current', 'Primary')}, {'index': 54, 'original': '[row 13]: Current liabilities: | | [SEP]', 'modified': '[row 13]: Primary liabilities: | | [SEP]', 'token_diff': "
Honda,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 15,"{'other_changes': [(19, '[row <NUM>]: Total liabilities | $ <NUM> |  [SEP]', '[row <NUM>]: Primary Liabilities | $ <NUM> |  [SEP]', 'unexpected non-numeric change outside allowed label'), (61, '[row <NUM>]: Other assets | <NUM> |  [SEP]', '[row <NUM>]: Other assets | <NUM>', 'unexpected non-numeric change outside allowed label'), (62, '[row <NUM>]: Total assets | $ <NUM> |  [SEP]', None, 'unexpect"
Honeywell International,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 77,"{'other_changes': [(3, '[row <NUM>]: ASSETS |  |  [SEP]', '[row <NUM>]: ASSETS | | [SEP]', 'unexpected non-numeric change outside allowed label'), (4, '[row 1]: Current assets |  |  [SEP]', '[row 1]: Current assets | | [SEP]', 'expected 1 token-change, found 0'), (5, '[row <NUM>]: Cash and cash equivalents | $ <NUM> |  [SEP]', '[row <NUM>]: Cash and cash equivalents | $ <NUM> | [SEP]', 'unexpected"
IBM,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 4","{'candidate_indices': [4, 15, 16, 30, 38, 61, 72, 73, 87, 95], 'changed_label_details': [{'index': 30, 'original': '[row 27]: Current liabilities | | [SEP]', 'modified': '[row 27]: Active liabilities | | [SEP]', 'token_diff': ('Current', 'Active')}, {'index': 38, 'original': '[row 35]: Total current liabilities | | 34,122 [SEP]', 'modified': '[row 35]: Total active liabilities | | 34,122 [SEP]', '"
Intel,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 4,"{'changed_label': {'index': 4, 'original': '[row 1]: Current assets: | | [SEP]', 'modified': '[row 1]: Ongoing assets: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
JD.com,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 87,"{'other_changes': [(82, '[row<NUM>]: Convertible redeemable non-controlling interests | — | [SEP]', '[row<NUM>]: Convertible redeemable non-controlling interests | — | [SEP', 'unexpected non-numeric change outside allowed label'), (83, '[row<NUM>]: Total shareholders’ equity | <NUM> | [SEP]', None, 'unexpected non-numeric change outside allowed label'), (84, '[row<NUM>]: Total liabilities<NUM> mez"
JPMorgan Chase,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 52,"{'other_changes': [(25, '[row <NUM>]: Accounts payable and other liabilities (included $<NUM> at fair value) | <NUM> |  [SEP]', '[row <NUM>]: Accounts payable and other liabilities (included $<NUM> at fair value) | <NUM> |', 'unexpected non-numeric change outside allowed label'), (26, '[row <NUM>]: Beneficial interests issued by consolidated VIEs (included $<NUM> at fair value) | <NUM> |  [SEP]', "
Johnson and Johnson,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 10, 11, 20, 27, 28, 48, 54, 55, 64, 71, 72], 'changed_label_details': [{'index': 20, 'original': '[row 17]: Current liabilities | | [SEP]', 'modified': '[row 17]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 64, 'original': '[row 17]: Current liabilities | | [SEP]', 'modified': '[row 17]: Ongoing liabilities | | [SEP]', 'token_diff': ('"
Kellogg_s,BS-02,PASS,PASS: label changed: 'Current' -> 'Active' in line index 16,"{'changed_label': {'index': 16, 'original': '[row 13]: Current liabilities | | [SEP]', 'modified': '[row 13]: Active liabilities | | [SEP]', 'token_diff': ('Current', 'Active')}}"
Li Auto,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 39,"{'other_changes': [(119, '[row <NUM>]: Class A Ordinary Shares | (US$<NUM> par value; <NUM> shares authorized<NUM> <NUM> shares issued and <NUM> shares outstanding as of December <NUM> <NUM> and <NUM> shares authorized<NUM> <NUM> shares issued and <NUM> shares outstanding as of December <NUM> <NUM> |  | [SEP]', '[row <NUM>]: Class A Ordinary Shares | (US$<NUM> par value; <NUM> shares authorized<NU"
Lockheed Martin,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 9, 10, 18, 23, 24, 39, 44, 45, 53, 58, 59], 'changed_label_details': [{'index': 18, 'original': '[row 15]: Current liabilities | | [SEP]', 'modified': '[row 15]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 53, 'original': '[row 15]: Current liabilities | | [SEP]', 'modified': '[row 15]: Ongoing liabilities | | [SEP]', 'token_diff': ('C"
Logitech,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 8, 9, 10, 17, 19, 20, 21, 23, 40, 44, 45, 46, 53, 55, 56, 57, 59], 'changed_label_details': [{'index': 17, 'original': '[row 14]: Current liabilities: | | [SEP]', 'modified': '[row 14]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 53, 'original': '[row 14]: Current liabilities: | | [SEP]', 'modified': '[row 14]: Ongoing liabilities: | "
Lucid Motors,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 4","{'candidate_indices': [4, 10, 11, 18, 22, 23, 41, 47, 48, 55, 59, 60], 'changed_label_details': [{'index': 18, 'original': '[row 15]: Current liabilities: | | [SEP]', 'modified': '[row 15]: Ongoing liabilities: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 23, 'original': '[row 20]: Total current liabilities | 1,008,410 | [SEP]', 'modified': '[row 20]: Total ongoing liabilities | 1,"
Luckin Coffee,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 3","{'candidate_indices': [4, 11, 13, 14, 17, 21, 24, 26, 30, 31, 33, 39, 46, 48, 49, 52, 56, 59, 61, 65, 66, 68, 74, 81, 83, 84, 87, 91, 94, 96, 100, 101, 103], 'changed_label_details': [{'index': 4, 'original': '[row 1]: Current assets: | | [SEP]', 'modified': '[row 1]: Ongoing assets: | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 39, 'original': '[row 1]: Current assets: | | [SEP]', "
Lyft,BS-02,PASS,PASS: label changed: 'Current' -> 'Ongoing' in line index 19,"{'changed_label': {'index': 19, 'original': '[row 16]: Current liabilities | | [SEP]', 'modified': '[row 16]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current', 'Ongoing')}}"
Marriott,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 8, 22, 28, 45, 49, 63, 69], 'changed_label_details': [{'index': 22, 'original': '[row 19]: Current liabilities | | [SEP]', 'modified': '[row 19]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 63, 'original': '[row 19]: Current liabilities | | [SEP]', 'modified': '[row 19]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current', 'Ongoin"
MasterCard,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 11, 12, 20, 27, 28, 49, 56, 57, 65, 72, 73], 'changed_label_details': [{'index': 20, 'original': '[row17]: Current liabilities: | | [SEP]', 'modified': '[row17]: Primary liabilities: | | [SEP]', 'token_diff': ('Current', 'Primary')}, {'index': 65, 'original': '[row17]: Current liabilities: | | [SEP]', 'modified': '[row17]: Primary liabilities: | | [SEP]', 'token_diff': ('"
McDonald_s,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 8, 9, 22, 29, 48, 52, 53, 66, 73], 'changed_label_details': [{'index': 22, 'original': '[row 19]: Current liabilities | | [SEP]', 'modified': '[row 19]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current', 'Ongoing')}, {'index': 66, 'original': '[row 19]: Current liabilities | | [SEP]', 'modified': '[row 19]: Ongoing liabilities | | [SEP]', 'token_diff': ('Current', "
Merck,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 9, 10, 23, 26, 29, 47, 52, 53, 66, 69, 72], 'changed_label_details': [{'index': 23, 'original': '[row 20]: Current Liabilities | | [SEP]', 'modified': '[row 20]: Primary Liabilities | | [SEP]', 'token_diff': ('Current', 'Primary')}, {'index': 66, 'original': '[row 20]: Current Liabilities | | [SEP]', 'modified': '[row 20]: Primary Liabilities | | [SEP]', 'token_diff': ('C"
Meta Platforms,BS-02,FAIL,"Expected exactly one 'Current Assets' or 'Current Liabilities' label change, found 2","{'candidate_indices': [4, 8, 9, 18, 22, 23, 39, 43, 44, 53, 57, 58], 'changed_label_details': [{'index': 18, 'original': '[row 15]: Current liabilities: | | [SEP]', 'modified': '[row 15]: Primary liabilities: | | [SEP]', 'token_diff': ('Current', 'Primary')}, {'index': 53, 'original': '[row 15]: Current liabilities: | | [SEP]', 'modified': '[row 15]: Primary liabilities: | | [SEP]', 'token_diff': "
Microchip Technology,BS-02,PASS,PASS: label changed: 'current' -> 'Primary' in line index 20,"{'changed_label': {'index': 20, 'original': '[row 17]: Total current liabilities | 3,118.6 | [SEP]', 'modified': '[row 17]: Total Primary liabilities | 3,118.6 | [SEP]', 'token_diff': ('current', 'Primary')}}"
Microsoft,BS-02,PASS,PASS: label changed: 'Current' -> 'Active' in line index 20,"{'changed_label': {'index': 20, 'original': '[row 17]: Current liabilities: | | [SEP]', 'modified': '[row 17]: Active liabilities: | | [SEP]', 'token_diff': ('Current', 'Active')}}"
Morgan Stanley,BS-02,FAIL,Unexpected non-numeric text changes outside allowed label(s): 1,"{'other_changes': [(19, '[row <NUM>]: Liabilities | | [SEP]', '[row <NUM>]: Primary Liabilities | | [SEP]', 'unexpected non-numeric change outside allowed label')], 'candidate_indices': []}"
