company,rule,result,message
Lockheed Martin,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Logitech,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Lucid Motors,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Luckin Coffee,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Lyft,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Marriott,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
MasterCard,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
McDonald_s,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Merck,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Meta Platforms,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Microchip Technology,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Microsoft,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Morgan Stanley,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
NIO,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
NVIDIA,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
NXP Semiconductors,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Netflix,SI-04,FAIL,No 'Miscellaneous other income' added line found in injected
Nike,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
ON Semiconductor,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Oracle,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Palantir,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Peloton,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
PepsiCo,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Pfizer,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Philip Morris,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Pinduoduo,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 4)
Procter and Gamble,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Qualcomm,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Robinhood,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Roku,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Salesforce,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Seagate Technology,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Snap,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Starbucks,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Take-Two Interactive,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Target,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Tesla,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Texas Instruments,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Toyota,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Uber,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
UnitedHealth Group,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Virgin Galactic,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Visa,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Walgreens Boots Alliance,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Walmart,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Whirlpool,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Zoom Video Communications,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
3M,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
AMD,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
ATandT,SI-05,FAIL,Original does not contain any 'interest' lines to delete
AbbVie,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Abbott Laboratories,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Adobe,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Allstate,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Alphabet (Google),SI-05,FAIL,Original does not contain any 'interest' lines to delete
Amazon,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
American Express,SI-05,FAIL,Injected still contains 33 'interest' line(s) (should be removed)
Apple,SI-05,FAIL,Original does not contain any 'interest' lines to delete
Applied Materials,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Asana,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Bank of America,SI-05,FAIL,Injected still contains 15 'interest' line(s) (should be removed)
Baxter International,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Berkshire Hathaway,SI-05,FAIL,Injected still contains 1 'interest' line(s) (should be removed)
Best Buy,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Bilibili,SI-05,FAIL,Original does not contain any 'interest' lines to delete
Block,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Boeing,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Boston Scientific,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Box,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Broadcom,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Caterpillar,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Chevron,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Cisco Systems,SI-05,FAIL,Injected still contains 9 'interest' line(s) (should be removed)
Coca-Cola,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Corsair Gaming,SI-05,FAIL,Injected still contains 9 'interest' line(s) (should be removed)
Costco,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Dell,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Dell Technologies,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Delta Air Lines,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Disney,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
DraftKings,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
DuPont,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Electronic Arts,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Eli Lilly,SI-05,FAIL,Original does not contain any 'interest' lines to delete
Etsy,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
ExxonMobil,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
FedEx,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Ford Motor,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
General Electric,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
General Motors,SI-05,FAIL,Injected still contains 9 'interest' line(s) (should be removed)
Goldman Sachs,SI-05,FAIL,Injected still contains 12 'interest' line(s) (should be removed)
HP,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Home Depot,SI-05,FAIL,Injected still contains 12 'interest' line(s) (should be removed)
Honda,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Honeywell International,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
IBM,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Intel,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
JD.com,SI-05,FAIL,Injected still contains 1 'interest' line(s) (should be removed)
JPMorgan Chase,SI-05,FAIL,Injected still contains 9 'interest' line(s) (should be removed)
Johnson and Johnson,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Kellogg_s,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Li Auto,SI-05,FAIL,Original does not contain any 'interest' lines to delete
Lockheed Martin,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Logitech,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Lucid Motors,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Luckin Coffee,SI-05,FAIL,Injected still contains 8 'interest' line(s) (should be removed)
Lyft,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Marriott,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
MasterCard,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
McDonald_s,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Merck,SI-05,FAIL,Original does not contain any 'interest' lines to delete
Meta Platforms,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Microchip Technology,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Microsoft,SI-05,FAIL,Original does not contain any 'interest' lines to delete
Morgan Stanley,SI-05,FAIL,Injected still contains 18 'interest' line(s) (should be removed)
NIO,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
NVIDIA,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
NXP Semiconductors,SI-05,FAIL,Original does not contain any 'interest' lines to delete
Netflix,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Nike,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
ON Semiconductor,SI-05,FAIL,Injected still contains 12 'interest' line(s) (should be removed)
Oracle,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Palantir,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Peloton,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
PepsiCo,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Pfizer,SI-05,FAIL,Original does not contain any 'interest' lines to delete
Philip Morris,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Pinduoduo,SI-05,FAIL,Injected still contains 8 'interest' line(s) (should be removed)
Procter and Gamble,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Qualcomm,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Robinhood,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Roku,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Salesforce,SI-05,FAIL,Original does not contain any 'interest' lines to delete
Seagate Technology,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Snap,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Starbucks,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Take-Two Interactive,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Target,SI-05,FAIL,Injected still contains 1 'interest' line(s) (should be removed)
Tesla,SI-05,FAIL,Injected still contains 4 'interest' line(s) (should be removed)
Texas Instruments,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Toyota,SI-05,FAIL,Original does not contain any 'interest' lines to delete
Uber,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
UnitedHealth Group,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Virgin Galactic,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Visa,SI-05,FAIL,Injected still contains 3 'interest' line(s) (should be removed)
Walgreens Boots Alliance,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Walmart,SI-05,FAIL,Injected still contains 10 'interest' line(s) (should be removed)
Whirlpool,SI-05,FAIL,Injected still contains 6 'interest' line(s) (should be removed)
Zoom Video Communications,SI-05,FAIL,Original does not contain any 'interest' lines to delete
